,barrio,Precio M2,Distancia Subte,lat,lon,estacion
2926,VILLA CRESPO,3189.6551724137926,304.8551474235364,-34.59936870000001,-58.4303835,136.0
2927,VILLA CRESPO,1986.4864864864865,540.3447063808559,-34.59781470000001,-58.4338022,135.0
2928,VILLA CRESPO,2156.8627450980393,1321.5541394977838,-34.601704,-58.454432,146.0
2929,VILLA CRESPO,3181.818181818182,737.8592622723114,-34.595385799999995,-58.4308843,135.0
2930,VILLA CRESPO,2190.684210526316,624.7997468458328,-34.597255600000004,-58.44549839999999,146.0
2931,VILLA CRESPO,2516.756756756757,624.7997468458328,-34.597255600000004,-58.44549839999999,146.0
2932,VILLA CRESPO,2237.076923076923,624.7997468458328,-34.597255600000004,-58.44549839999999,146.0
2933,VILLA CRESPO,2000.0,874.6753496768486,-34.598753,-58.451559,146.0
2934,VILLA CRESPO,3636.363636363637,293.6354775381551,-34.6000402,-58.4330941,135.0
2935,VILLA CRESPO,3121.212121212121,293.6354775381551,-34.6000402,-58.4330941,135.0
2936,VILLA CRESPO,2129.032258064516,715.487565034798,-34.5942227,-58.4352039,141.0
2937,VILLA CRESPO,2681.818181818182,206.37875976097877,-34.600714,-58.43266,135.0
2938,VILLA CRESPO,2583.333333333333,601.3867354320876,-34.59346420000001,-58.4421207,145.0
2939,VILLA CRESPO,2300.0,601.3867354320876,-34.59346420000001,-58.4421207,145.0
2940,VILLA CRESPO,2075.0,586.5583652270573,-34.5933706,-58.44223220000001,145.0
2941,VILLA CRESPO,3676.470588235294,285.38521671342744,-34.5979593,-58.442389,140.0
2942,VILLA CRESPO,2567.5675675675675,285.38521671342744,-34.5979593,-58.442389,140.0
2943,VILLA CRESPO,1936.2745098039209,1419.6068284498158,-34.605502,-58.451032,140.0
2944,VILLA CRESPO,2795.698924731182,186.31319962687007,-34.601395000000004,-58.43290699999999,135.0
2945,VILLA CRESPO,2416.6666666666665,223.55353098241065,-34.59928370000001,-58.43751750000001,141.0
2946,VILLA CRESPO,1850.0,536.2585174608787,-34.5984217,-58.4345798,135.0
2947,VILLA CRESPO,2469.1358024691363,626.4956696478698,-34.5949584405,-58.4355951454,141.0
2948,VILLA CRESPO,2107.1428571428573,781.1132284764456,-34.6051399228,-58.4435132561,142.0
2949,VILLA CRESPO,3227.2727272727275,750.9423865588292,-34.596051700000004,-58.4277245,136.0
2950,VILLA CRESPO,2900.0,750.9423865588292,-34.596051700000004,-58.4277245,136.0
2951,VILLA CRESPO,3123.664122137405,750.9423865588292,-34.596051700000004,-58.4277245,136.0
2952,VILLA CRESPO,3454.666666666666,750.9423865588292,-34.596051700000004,-58.4277245,136.0
2953,VILLA CRESPO,2452.830188679245,489.3287557904205,-34.5943136,-58.439324,139.0
2954,VILLA CRESPO,2210.5263157894738,615.3046398586616,-34.5980255,-58.4270374,136.0
2955,VILLA CRESPO,2257.894736842105,615.3046398586616,-34.5980255,-58.4270374,136.0
2956,VILLA CRESPO,2315.217391304348,615.3046398586616,-34.5980255,-58.4270374,136.0
2957,VILLA CRESPO,2777.777777777778,331.859863251171,-34.6026282,-58.434352,138.0
2958,VILLA CRESPO,2281.6901408450703,495.87308915793784,-34.602794700000004,-58.4370606,141.0
2959,VILLA CRESPO,2972.222222222222,712.2024796935491,-34.5978571,-58.4259825,136.0
2960,VILLA CRESPO,2687.5,316.8885250289305,-34.5958628,-58.4395122,139.0
2961,VILLA CRESPO,2070.3125,723.408308008388,-34.60253970000001,-58.445448,140.0
2962,VILLA CRESPO,2487.804878048781,655.1592804493832,-34.597773,-58.448669,146.0
2963,VILLA CRESPO,2800.0,655.1592804493832,-34.597773,-58.448669,146.0
2964,VILLA CRESPO,2800.0,655.1592804493832,-34.597773,-58.448669,146.0
2965,VILLA CRESPO,2300.0,292.9148389675699,-34.597390999999995,-58.43745500000001,141.0
2966,VILLA CRESPO,3454.5454545454545,331.870986849115,-34.6015602,-58.4343171,135.0
